epoch,r2_top20_dev,r2_top40_dev,r2_top80_dev,r2_top20_test,r2_top40_test,r2_top80_test,allgenes_r2_dev,allgenes_r2_test,allgenes_pearson_dev,allgenes_pearson_test
12,0.6807470516519961,0.645630382814686,0.6097632171361075,0.6839697867600059,0.6413598880093886,0.6122111776107237,-0.6766537944041575,-0.6581628518602626,0.4237704453631063,0.4198232026108267
13,0.6876925997708161,0.6545906598582371,0.6209392056892363,0.6919951615240609,0.6514235331015512,0.6240159582144315,-0.5506698254586805,-0.5319264737235463,0.4393201540513189,0.43582423660726594
14,0.6922796589985473,0.6616716121384264,0.6302022773217028,0.6982382546188233,0.6598168686594087,0.6344971842810765,-0.4389959876709203,-0.4099550204710232,0.45713849894910724,0.4543304094402948
15,0.6990264968963105,0.6705231781003211,0.6413962790129667,0.7060211801407162,0.6699000771337634,0.6465372555124207,-0.3246208375461486,-0.3082937367168062,0.47614202242953146,0.47406732797305784
16,0.7055120807427099,0.6794120287952771,0.6527698658253712,0.7132520156775154,0.6800086397337105,0.6589820233472531,-0.21469774403273395,-0.18039044876342517,0.4987762960421336,0.49763203452199745
17,0.7116031658060996,0.688028698434252,0.6641539667463127,0.7202011674966503,0.6899004105467685,0.6713353477902286,-0.10627636677736542,-0.07574763772807913,0.5220115858216253,0.5217321911478239
18,0.7166014794340256,0.6955052260725212,0.6742454632063875,0.7264567156927703,0.698841997531337,0.6824879414913091,-0.026896677014508853,-0.006633656520976395,0.5439340668372378,0.5444880241785696
19,0.720408252309364,0.7021120487254078,0.6835357278387449,0.7315795209031255,0.7069808751087029,0.6930578523898893,0.057943730898964485,0.0898052505841864,0.5666871085617604,0.5681504401005323
20,0.7236205813175379,0.7078132665357054,0.6916319397845283,0.7362986301616621,0.7142699080514383,0.7023943330953941,0.12147556463417224,0.1545998375546706,0.5873723683984418,0.5898217078951422
21,0.7258772845767347,0.7125025704524813,0.6985071780707185,0.7402650599891825,0.7205973625236841,0.7106273049459785,0.1740722156682796,0.20994092408233697,0.6063040273684492,0.6097852485424511
22,0.7275638658008148,0.7163920585655212,0.704282292143813,0.7435084471860604,0.7260067529664614,0.7176932085418565,0.20703986739657526,0.24826908931185213,0.6227262680450039,0.6271752335460693
23,0.7289336887576192,0.7197175589898696,0.7092429365954135,0.7461313139493744,0.7306350465676543,0.7237102117931432,0.24705201471575688,0.28617893161260516,0.6365524380912978,0.6417052150299348
24,0.7297674133096446,0.7222830014967048,0.7132237216278785,0.7480556695624668,0.7343254732654532,0.7286074515926242,0.28287620458352086,0.31656121291914824,0.6478935031766055,0.6536556176233437
25,0.7303882303719686,0.7244535291416079,0.7165655742445436,0.7496788686252894,0.7375640134496686,0.7328870206798789,0.29937346228799594,0.3375718640687062,0.6571237172637374,0.6635953072022992
26,0.7306896639110239,0.7262042096340816,0.7193172098599645,0.7508002758164914,0.7401992335932877,0.7364654425473253,0.31600480927262475,0.3547043650217118,0.6645170188477103,0.6716573417166866
27,0.7308762481952156,0.7277122479181095,0.7217809368987176,0.7516913099012154,0.7425153704238026,0.7395941383146826,0.3330794054560842,0.37025386276629213,0.6707855294253244,0.6783368486441995
28,0.7310914597112629,0.7289332986059348,0.7238589516870424,0.7524071818301916,0.7444315330119701,0.7422286617281313,0.33689428494459484,0.3757896675570294,0.6756637571900194,0.6835592975604433
29,0.731410527591275,0.7300893372444269,0.7256299564337008,0.7530707459578038,0.7460848693271113,0.7443567557815775,0.34543857556404245,0.3708031485871107,0.6794491025978943,0.6875280259168874
30,0.7310637352160003,0.7306874271397378,0.7269025986886284,0.7533085564138026,0.7472973298870608,0.7461410315857487,0.3627054845147303,0.3941089813365122,0.6826530170499572,0.6910882516347457
31,0.7305851640599468,0.7311652169899371,0.7280195265680951,0.7531940682858955,0.7481532992163211,0.7475285656791066,0.369064337619778,0.4029099571715819,0.6852376576958875,0.6937021120990131
32,0.730019585893545,0.731347881613679,0.7287021895789347,0.753093017032122,0.748834240332565,0.7486819250376359,0.3728021749586598,0.40823045756460125,0.6873562353205879,0.6962323190529356
